Date-Time,NotaAcumulada,PresençaAcumulada,
4-Dec-12-7:30:00,0,3.03
7-Dec-12-10:20:00,0,3.03
11-Dec-12-7:30:00,0,6.06
14-Dec-12-10:20:00,0.25,9.09
18-Dec-12-7:30:00,0.25,12.12
21-Dec-12-10:20:00,0.25,15.15
25-Dec-12-7:30:00,0.25,15.15
28-Dec-12-10:20:00,0.25,15.15
01-Jan-13-7:30:00,0.25,15.15
04-Jan-13-10:20:00,0.25,15.15
08-Jan-13-7:30:00,0.25,15.15
11-Jan-13-10:20:00,0.25,15.15
15-Jan-13-7:30:00,0.25,15.15
18-Jan-13-10:20:00,0.25,15.15
22-Jan-13-7:30:00,0.25,15.15
25-Jan-13-7:30:00,0.25,15.15
29-Jan-13-7:30:00,0.25,15.15
01-Feb-13-7:30:00,0.25,15.15
05-Feb-13-7:30:00,0.25,18.18
08-Feb-13-7:30:00,0.25,21.21
15-Feb-13-7:30:00,0.25,24.24
19-Feb-13-7:30:00,0.25,27.27
22-Feb-13-10:20:00,0.55,30.3
26-Feb-13-7:30:00,0.55,33.33
01-Mar-13-10:20:00,0.55,36.36
05-Mar-13-10:20:00,0.55,39.39
08-Mar-13-7:30:00,1.55,42.42
12-Mar-13-10:20:00,2.55,45.45
15-Mar-13-7:30:00,2.55,48.48
19-Mar-13-10:20:00,2.55,48.48
22-Mar-13-7:30:00,2.55,51.51
27-Mar-13-10:20:00,3.55,54.54
02-Apr-13-7:30:00,3.55,54.54
05-Apr-13-10:20:00,3.55,57.57
09-Apr-13-7:30:00,3.75,60.6
12-Apr-13-10:20:00,3.85,63.63
16-Apr-13-7:30:00,4.45,66.66
19-Apr-13-7:30:00,4.45,69.69
23-Apr-13-10:20:00,5.25,72.72
26-Apr-13-7:30:00,5.25,75.75
30-Apr-13-7:30:00,5.95,78.78
03-May-13-10:20:00,6.95,78.78
07-May-13-7:30:00,6.95,81.81
10-May-13-10:20:00,7.35,84.84
14-May-13-7:30:00,7.35,87.87
17-May-13-10:20:00,7.35,90.90
